"","time","wildlife_health_important","wildlife_path_affect_livestock","wildlife_path_affect_phealth","hum_liv_path_affect_wildlife","dom_animals_concern","dead_found","sick_injured_found","livestock_found","patrol_length","patrols_per_month","healthy_wl_recorded","how_healthy_wl_recorded","healthy_wl_data_recorded","healthy_wl_data_in_smart","healthy_wl_data_other","dead_wl_recorded","how_dead_wl_recorded","dead_wl_data_recorded","dead_wl_data_in_smart","dead_wl_data_other","injured_wl_recorded","how_injured_wl_recorded","injured_wl_data_recorded","injured_wl_data_in_smart","injured_wl_data_other","sick_wl_recorded","how_sick_wl_recorded","sick_wl_data_recorded","sick_wl_data_in_smart","sick_wl_data_other","dom_animals_in_pa","dom_animals_recorded","dom_animal_in_smart","dom_animal_health_status_recorded","dom_animal_health_status_smart","other_wl_health_data","why_not_wl_health_data","smart_version","smart_connect","set_up_connect","smart_fully_rolled_out","add_health_atributes","position","survey","or_number_pas","local"
"11","10/27/2022 22:21:11","Agree","Neutral","Agree","Strongly agree","Strongly agree","Very frequently","Occasionally","Always","Between two and five days",15,"Yes","Healthy wildlife is recorded in another way","Photographs, Species, Age, Sex","All of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","No","","","","","No","","","","","Yes","No","","","","Record only wildlife confiscation, wildlife injure or dead but not record as wildlife observation","We use the default SMART data model which does not include sick, dead or injured wildlife","6.3","No","Been planning very long time but it could not work out","Fully rolled-out","Yes","I am a general manager or administrator of one or more protected areas that uses SMART data",11,1,TRUE
"12","10/28/2022 2:53:22","Agree","Disagree","Neutral","Neutral","Agree","Occasionally","Rarely","Very rarely","Between four days and a week",50,"Yes","Each individual healthy animal is recorded as an individual observation","Photographs, Species, Age, Sex, Body condition, Other","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Dead wildlife is recorded in another way","Species, Age, Sex, Carcass condition, Suspect cause of death","All of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","No","","","","","No","","","","","In NLCP we record ""health"" data related to the rhinos only. This is measured by using a standard ""Body Score Condition"". As we know each of the rhinos in our ecosystem, we also know their sex and age. ","Wildlife disease is not relevant in the protected area","7.1","Yes","","Fully rolled-out","No","I am directly responsible for managing SMART data in one or more protected areas",15,1,TRUE
"13","10/28/2022 3:28:55","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Sometimes","Rarely","Occasionally","Less than a day",10,"Yes","Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified)","Photographs, Species, Age, Sex","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death","All of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","No","","","","","Yes","Yes","Yes","No","","No","Lack of expertise on how to properly record this information, Never thought about it","6.3.0","No","Currently not planned as SMART desktop is still not fully implemented","Partially rolled-out","Yes","Other",16,2,TRUE
"14","10/28/2022 5:27:53","Strongly agree","Agree","Strongly agree","Strongly agree","Neutral","Very frequently","Sometimes","Never","Between four days and a week",10,"Yes","Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”).","Photographs, Species, Age, Sex, Other","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Sex, Carcass condition, Suspect cause of death","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual injured animal is recorded as an individual observation","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual sick animal is recorded as an individual observation","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease","All of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","We also observe the behavior of the animal in front of the ecoguards.","Dead, sick or injured wildlife are seldom found","7.5.4","Yes","","Fully rolled-out","Yes","I am directly responsible for managing SMART data in one or more protected areas",17,9,FALSE
"15","10/28/2022 6:23:04","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Rarely","Occasionally","Occasionally","Less than a day",1,"No","","","","","Yes","Dead wildlife is recorded in another way","Photographs, Species, Sex","Some of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","No","","","","","Yes","Yes","No","No","","Occasionally, when there is an ecological monitoring supported by the project","Lack of expertise on how to properly record this information, Never thought about it, We use the default SMART data model which does not include sick, dead or injured wildlife","SMART 6.3.0","No","Yes, on the next year","Partially rolled-out","Yes","I am directly responsible for managing SMART data in one or more protected areas",18,1,TRUE
"16","10/28/2022 7:21:47","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Rarely","Occasionally","Very rarely","Between four days and a week",3,"Yes","Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”).","Photographs, Species, Other","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Carcass condition, Suspect cause of death","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual injured animal is recorded as an individual observation","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual sick animal is recorded as an individual observation","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition","All of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","yes","Dead, sick or injured wildlife are seldom found","smart 6.3.0","No","No, we use the classic SMART. We couldn't connect our smart to a server. We would like some help with this problem.","Fully rolled-out","Yes","I am directly responsible for managing SMART data in one or more protected areas",19,7,FALSE
"17","10/28/2022 10:01:15","Agree","Neutral","Disagree","Somewhat Disagree","Strongly agree","Very frequently","Occasionally","Very frequently","Less than a day",600,"Yes","Each individual healthy animal is recorded as an individual observation","Photographs, Species, Age, Sex, Body condition, Other","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Sex, Carcass condition, Suspect cause of death","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual injured animal is recorded as an individual observation","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual sick animal is recorded as an individual observation","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Yes","Yes","No","","yes, Behavior of all the wildlife sighted during a patrol are recorded.","Lack of expertise on how to properly record this information, We use the default SMART data model which does not include sick, dead or injured wildlife","SMART 7.5.3","No","Yes plans are ongoing but first Kenya Wildlife   Service top management has to be contented with data security of all the endangered species.","Fully rolled-out","Yes","I am directly responsible for managing SMART data in one or more protected areas",21,2,TRUE
"18","10/28/2022 12:04:19","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Very frequently","Very frequently","Very frequently","Between two and five days",20,"Yes","Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”).","Photographs, Species, Age, Sex, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Sex, Carcass condition, Suspect cause of death","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Injured wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total injured animals of species X and 2 total injured animals of species Y”).","Photographs, Species, Age, Sex, Body condition, Suspect cause of injury","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Sick wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total sick animals of species X and 2 total sick animals of species Y”).","Photographs, Species, Age, Sex, Body condition, Suspect cause of disease","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Yes","Yes","Yes","Yes","Yes","Dead, sick or injured wildlife are seldom found, Lack of expertise on how to properly record this information","7.5.3","No","Yes, Before the end of 2022 or at the beginning of 2023","Fully rolled-out","Yes","I am directly responsible for managing SMART data in one or more protected areas",22,1,TRUE
"19","10/29/2022 5:35:28","Strongly agree","Somewhat Disagree","Neutral","Strongly agree","Strongly agree","Very frequently","Very frequently","Very frequently","Between four days and a week",5,"No","","","","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Carcass condition, Anomalies in carcass (if any), Suspect cause of death","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual injured animal is recorded as an individual observation","Photographs, Species, Age, Anomalies/signs if any, Body condition, Suspect cause of injury","All of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","Yes","Yes","Yes","Yes","Yes","No","Dead, sick or injured wildlife are seldom found","7","Yes","","Fully rolled-out","Yes","Other",24,1,TRUE
"20","10/29/2022 11:15:03","Agree","Neutral","Neutral","Agree","Agree","Sometimes","Always","Sometimes","Between four days and a week",12,"Yes","Each individual healthy animal is recorded as an individual observation","Photographs, Species, Sex, Body condition, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Sex, Carcass condition, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","No","","","","","Yes","Yes","Yes","Yes","Yes","Nothing ","Dead, sick or injured wildlife are seldom found, We use the default SMART data model which does not include sick, dead or injured wildlife","6.3 and 7.5.2","No","Yes, planned set up it in 2023 ","Under pilot","Yes","I am directly responsible for managing SMART data in one or more protected areas",25,2,TRUE
"21","10/30/2022 7:15:16","Neutral","Disagree","Neutral","Neutral","Agree","Very frequently","Occasionally","Sometimes","Between four days and a week",15,"Yes","Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”).","Species, Age, Sex","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Sex, Suspect cause of death","All of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","No","","","","","Yes","No","","","","No","Never thought about it","unsure","No","Would need assistance","Partially rolled-out","Yes","I am a general manager or administrator of one or more protected areas that uses SMART data",26,1,TRUE
"22","10/30/2022 22:09:42","Strongly agree","Strongly agree","Neutral","Strongly agree","Strongly agree","Occasionally","Occasionally","Occasionally","Less than a day",17,"Yes","Each individual healthy animal is recorded as an individual observation","Photographs","None of these items are recorded in the corresponding SMART Conservation Area","Just in Paper report","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Sex, Carcass condition","None of these items are recorded in the corresponding SMART Conservation Area","paper report ","No","","","","","No","","","","","Yes","Yes","No","No","","no","Dead, sick or injured wildlife are seldom found","7.5.4","Yes","","Under pilot","No","Other",27,3,FALSE
"23","10/30/2022 23:13:21","Agree","Strongly agree","Agree","Disagree","Neutral","Rarely","Very rarely","Never","Between four days and a week",1,"Yes","Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified)","Species, Age, Sex","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Dead wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total dead animals of species X and 2 total dead animals of species Y”).","Species, Age, Suspect cause of death","All of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","No","","","","","No","","","","","no","It would add too much work or time to the patrol","6.3","Yes","","Fully rolled-out","No","Other",28,4,FALSE
"24","10/31/2022 1:49:50","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Very rarely","Very rarely","Rarely","Between two and five days",16,"Yes","Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”).","Photographs, Species, Age, Sex, Body condition, Other","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Dead wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total dead animals of species X and 2 total dead animals of species Y”).","Photographs, Species, Carcass condition, Other","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Injured wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total injured animals of species X and 2 total injured animals of species Y”).","Photographs, Species, Age, Sex","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Sick wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total sick animals of species X and 2 total sick animals of species Y”).","Photographs, Species, Age, Sex","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Yes","Yes","No","","we collect bones and other parts, post mortem of death animals and share information to nearest  livestock office. ","Lack of expertise on how to properly record this information","SMART 6.3.0","Yes","","Fully rolled-out","Yes","I am directly responsible for managing SMART data in one or more protected areas",29,1,TRUE
"25","10/31/2022 3:41:10","Agree","Agree","Agree","Agree","Agree","Sometimes","Rarely","Rarely","Between two and five days",20,"Yes","Each individual healthy animal is recorded as an individual observation","Photographs, Species, Body condition, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Carcass condition, Suspect cause of death, Other","None of these items are recorded in the corresponding SMART Conservation Area","animal record form","Yes","Each individual injured animal is recorded as an individual observation","Photographs, Species, Body condition, Suspect cause of injury, Other","None of these items are recorded in the corresponding SMART Conservation Area","","Yes","Sick wildlife is recorded in another way","Photographs, Species, Body condition, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Yes","No","No","","none","Dead, sick or injured wildlife are seldom found, Lack of expertise on how to properly record this information, We use the default SMART data model which does not include sick, dead or injured wildlife","smart 7","No","yes. after all set for the smart collect. ","Under pilot","Yes","I am a general manager or administrator of one or more protected areas that uses SMART data",30,1,TRUE
"26","10/31/2022 4:02:18","Neutral","Agree","Somewhat Disagree","Agree","Agree","Rarely","Rarely","Very frequently","Between two and five days",10,"No","","","","","No","","","","","No","","","","","No","","","","","Yes","Yes","Yes","No","","Not really","Dead, sick or injured wildlife are seldom found, Lack of expertise on how to properly record this information, We use the default SMART data model which does not include sick, dead or injured wildlife","6.3","Yes","","Fully rolled-out","Yes","I am a general manager or administrator of one or more protected areas that uses SMART data",31,45,FALSE
"27","10/31/2022 14:05:54","Strongly agree","Neutral","Agree","Agree","Agree","Occasionally","Sometimes","Very frequently","Between four days and a week",6,"Yes","Healthy wildlife is recorded in another way","Body condition","None of these items are recorded in the corresponding SMART Conservation Area","In the prepared excel forms","Yes","Each individual dead animal is recorded as an individual observation","Species, Age, Sex, Carcass condition, Suspect cause of death, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","No","","","","","Yes","Sick wildlife is recorded in another way","Species, Age, Anomalies/signs if any, Other","None of these items are recorded in the corresponding SMART Conservation Area","Independent report","No","","","","","No","Lack of expertise on how to properly record this information, Never thought about it","6","Yes","","Under pilot","Yes","Other",32,7,FALSE
"28","11/1/2022 2:49:01","Somewhat Disagree","Agree","Agree","Somewhat Disagree","Agree","Sometimes","Rarely","Very rarely","Between four days and a week",2,"Yes","Each individual healthy animal is recorded as an individual observation","Photographs, Species, Sex, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual dead animal is recorded as an individual observation","Photographs, Species, Age, Sex, Suspect cause of death, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual injured animal is recorded as an individual observation","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Each individual sick animal is recorded as an individual observation","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease, Other","Some of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Yes","Yes","No","","Yes","Dead, sick or injured wildlife are seldom found","SMART 7.5.3","Yes","","Under pilot","Yes","Other",33,3,FALSE
"29","11/1/2022 4:03:23","Strongly agree","Strongly agree","Agree","Agree","Agree","Sometimes","Sometimes","Very frequently","Between four days and a week",4,"Yes","Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified)","Photographs, Species, Age, Sex, Body condition, Other","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Dead wildlife are recorded as present/absent (the number of dead individuals is not specified)","Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death, Other","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Injured wildlife are recorded as present/absent (the number of injured individuals is not specified)","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Sick wildlife are recorded as present/absent (the number of sick individuals is not specified)","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease, Other","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","No","","","","Nothing ","Never thought about it","6.3.0","Yes","","Fully rolled-out","Yes","I am directly responsible for managing SMART data in one or more protected areas",34,1,TRUE
"30","11/1/2022 4:08:04","Strongly agree","Agree","Agree","Agree","Strongly agree","Sometimes","Sometimes","Very frequently","Between four days and a week",4,"Yes","Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified)","Photographs, Species, Age, Sex, Body condition, Other","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Dead wildlife are recorded as present/absent (the number of dead individuals is not specified)","Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death, Other","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Injured wildlife are recorded as present/absent (the number of injured individuals is not specified)","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","Sick wildlife are recorded as present/absent (the number of sick individuals is not specified)","Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease, Other","All of these items are entered and stored in the corresponding SMART Conservation Area","","Yes","No","","","","No","Never thought about it","6.3.0","Yes","","Fully rolled-out","Yes","I am directly responsible for managing SMART data in one or more protected areas",35,1,TRUE
