Timestamp,Score,"1. Please enter all the name(s) of the protected area(s) that apply.
If there is more than one protected area(s) name(s), please separate them by hitting enter in the answer space below","2. Wildlife health, including infectious and non-infectious diseases, is important to achieve the conservation goals of the protected areas where I work ",3. Pathogens carried by wildlife inhabiting the protected area I work in can affect livestock health    ,4. Pathogens carried by wildlife inhabiting the protected area I work in can affect public health,5. Human or livestock pathogens can affect wildlife populations inhabiting the protected area I work in,"6. Introduced domestic animals (e.g., dogs, cats, cattle, pigs, cats) are a concern for the conservation goals of the protected areas where I work",7. Are dead animals encountered in the protected area? ,8. Are sick or injured animals encountered in the protected area? ,9. Are livestock encountered in the protected area?,"10. How long, on average, are the patrols in the protected area?","11. On average, how many patrols are completed in the protected area in one month?",12. Are healthy wildlife found during patrols (rangers or others) recorded as a specific category of individuals?,12.a Please select one of the choices below to help us understand how healthy wildlife are recorded during a patrol:,12.b Please indicate what type of data are recorded (check all that apply),12.c Are these data entered and stored in SMART Desktop?,12.c.i If none of the items are recorded in the corresponding SMART Conservation Area where are they recorded? ,13. Are dead wildlife found during patrols recorded as a specific category of individuals? ,13.a Please select one of the choices below to help us understand how dead wildlife are recorded during a patrol:,13.b Please indicate what type of data are recorded (check all that apply),13.c Are these data entered and stored in SMART Desktop?,13.c.i If none of the items are recorded in the corresponding SMART Conservation Area where are they recorded? ,14. Are injured wildlife found during patrols recorded as a specific category of individuals? ,14.a Please select one of the choices below to help us understand how injured wildlife are recorded during a patrol:,14.b Please indicate what type of data are recorded (check all that apply),14.c Are these data entered and stored in SMART Desktop?,14.c.i If none of the items are recorded in the corresponding SMART Conservation Area where are they recorded?,15. Are sick wildlife found during patrols recorded as a specific category of individuals? ,15.a Please select one of the choices below to help us understand how sick wildlife are recorded during a patrol:,15.b Please indicate what type of data are recorded (check all that apply),15.c Are these data entered and stored in SMART Desktop?,15.c.i If none of the items are recorded in the corresponding SMART Conservation Area where are they recorded? ,"16. Are domestic animals found in the protected area (free-ranging, captive, on a farm)?","17. If observed on a patrol, is the presence of domestic animals recorded?",17.a Are these data entered in SMART Desktop?,"18. Is the health status of the observed domestic animals recorded (healthy, sick or injured, dead) recorded?",18.a Are these data entered in SMART Desktop?,19. Is any other data relevant to wildlife health collected during the patrols?,"20. If no data are collected on dead, sick, or injured wildlife, please select the best explanation(s) for why this information is not collected (check all that apply)",21. What version of SMART Desktop is currently used in the protected area?,22. Is SMART Connect available to manage and transfer information between SMART Desktop and SMART Mobile? ,22.a Are there plans to set up SMART Connect instance and when?,23. Is SMART fully rolled-out in the protected area(s) you work in or is it being piloted?,24. Would you be interested in adding a set of categories and attributes to your data model in order to facilitate the collection of wildlife health data (morbidity/mortality findings and events)? ,25. Please select the option that best describes your position
10/27/2022 22:21:11,,Siem Pang Wildlife Sanctuary,Agree,Neutral,Agree,Strongly agree,Strongly agree,Very frequently,Occasionally,Always,Between two and five days,15,Yes,Healthy wildlife is recorded in another way,"Photographs, Species, Age, Sex",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,No,,,,,Yes,No,,No,,"Record only wildlife confiscation, wildlife injure or dead but not record as wildlife observation","We use the default SMART data model which does not include sick, dead or injured wildlife",6.3,No,Been planning very long time but it could not work out,Fully rolled-out,Yes,I am a general manager or administrator of one or more protected areas that uses SMART data
10/28/2022 0:52:53,,Myo Myint Aung,Agree,Neutral,Neutral,Neutral,Neutral,Rarely,Rarely,Rarely,Between four days and a week,1,Yes,Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified),Other,None of these items are recorded in the corresponding SMART Conservation Area,no,No,,,,,No,,,,,No,,,,,No,No,,No,,no,Never thought about it,6,Yes,,Under pilot,No,Other
10/28/2022 2:34:47,,Pierre Megfy,Agree,Strongly agree,Agree,Agree,Strongly disagree,Always,Occasionally,Always,Between four days and a week,5,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Photographs, Species, Age, Sex",None of these items are recorded in the corresponding SMART Conservation Area,None,No,,,,,No,,,,,Yes,Sick wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total sick animals of species X and 2 total sick animals of species Y”).,"Photographs, Species, Age, Sex, Anomalies/signs if any, Suspect cause of disease",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,No,,No,,No,"It would add too much work or time to the patrol, Lack of expertise on how to properly record this information",Not remember well,No,"No,the problem is funds",Partially rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
10/28/2022 2:39:03,,"Community Forests
Private Conservancy ",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very frequently,Very frequently,Very frequently,Between four days and a week,3,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Photographs, Species, Age, Sex",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Carcass condition, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Suspect cause of injury",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,Yes,Yes,Yes,No,,No,"Dead, sick or injured wildlife are seldom found",6.34,Yes,,Fully rolled-out,Yes,I am a general manager or administrator of one or more protected areas that uses SMART data
10/28/2022 2:53:22,,North Luangwa Conservation Programme,Agree,Disagree,Neutral,Neutral,Agree,Occasionally,Rarely,Very rarely,Between four days and a week,50,Yes,Each individual healthy animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Body condition, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Dead wildlife is recorded in another way,"Species, Age, Sex, Carcass condition, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,No,No,,No,,"In NLCP we record ""health"" data related to the rhinos only. This is measured by using a standard ""Body Score Condition"". As we know each of the rhinos in our ecosystem, we also know their sex and age. ",Wildlife disease is not relevant in the protected area,7.1,Yes,,Fully rolled-out,No,I am directly responsible for managing SMART data in one or more protected areas
10/28/2022 3:28:55,,"Khunjerab National Park
Chitral Gol National Park",Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Sometimes,Rarely,Occasionally,Less than a day,10,Yes,Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified),"Photographs, Species, Age, Sex",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,Yes,Yes,Yes,No,,No,"Lack of expertise on how to properly record this information, Never thought about it",6.3.0,No,Currently not planned as SMART desktop is still not fully implemented,Partially rolled-out,Yes,Other
10/28/2022 5:27:53,,"Nouabale-Ndoki National Park (NNNP)
Odzala Kokoua National Park (PNOK)
Ntokou Pikounda National Park (PNNP)
Project for the Management of Preipheral Ecosystems in Nouabale-Ndoki National Park (PROGEPP-Kabo)
Preipherical Ecosystem Management Project in Odzala-Kokoua National Park (PROGEPP-Ngombe)
Lac Tele Community Reserve (RCLT)
Espace TRIDOM Inter-Zone (ETIC)
Unite de Surveillance et de Lutte Anti-Braconnage (USLAB) Tala-Tala
Lesio-Luna Gorilla Nature Reserve (RNGLL)

",Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Very frequently,Sometimes,Never,Between four days and a week,10,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Photographs, Species, Age, Sex, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Carcass condition, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual sick animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,No,,Yes,Yes,We also observe the behavior of the animal in front of the ecoguards.,"Dead, sick or injured wildlife are seldom found",7.5.4,Yes,,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
10/28/2022 6:23:04,,COMATSA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Rarely,Occasionally,Occasionally,Less than a day,1,No,,,,,Yes,Dead wildlife is recorded in another way,"Photographs, Species, Sex",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,Yes,Yes,No,No,,"Occasionally, when there is an ecological monitoring supported by the project","Lack of expertise on how to properly record this information, Never thought about it, We use the default SMART data model which does not include sick, dead or injured wildlife",SMART 6.3.0,No,"Yes, on the next year",Partially rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
10/28/2022 7:21:47,,Parc national du Banco  Parc national d'Azagny  Parc national des Iles Ehotilé  Réserve naturelle de Dahliafleur  Réserve naturelle partielle d'Aghien  Réserve naturelle de Mabi-Yaya  Réserve naturelle de Bossomatié,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Rarely,Occasionally,Very rarely,Between four days and a week,3,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Photographs, Species, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Carcass condition, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual sick animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,Yes,Yes,Yes,Yes,yes,"Dead, sick or injured wildlife are seldom found",smart 6.3.0,No,"No, we use the classic SMART. We couldn't connect our smart to a server. We would like some help with this problem.",Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
10/28/2022 8:27:07,,  KAPUKU MBOMBO JOHN,Strongly agree,Neutral,Somewhat Disagree,Neutral,Neutral,Rarely,Sometimes,Sometimes,Between one to two days,1,Yes,Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified),Sex,None of these items are recorded in the corresponding SMART Conservation Area,1,No,,,,,Yes,Injured wildlife are recorded as present/absent (the number of injured individuals is not specified),Species,All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Sick wildlife are recorded as present/absent (the number of sick individuals is not specified),Photographs,None of these items are recorded in the corresponding SMART Conservation Area,2,Yes,Yes,Yes,Yes,Yes,YES,Lack of expertise on how to properly record this information, SMART Desktop ecently,Yes,,Fully rolled-out,Yes,I am a general manager or administrator of one or more protected areas that uses SMART data
10/28/2022 10:01:15,,"Tsavo west Intensive Protection Zone
Ngulia Rhino Sanctuary",Agree,Neutral,Disagree,Somewhat Disagree,Strongly agree,Very frequently,Occasionally,Very frequently,Less than a day,600,Yes,Each individual healthy animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Body condition, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Carcass condition, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual sick animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Yes,Yes,No,,"yes, Behavior of all the wildlife sighted during a patrol are recorded.","Lack of expertise on how to properly record this information, We use the default SMART data model which does not include sick, dead or injured wildlife",SMART 7.5.3,No,Yes plans are ongoing but first Kenya Wildlife   Service top management has to be contented with data security of all the endangered species.,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
10/28/2022 12:04:19,,Queen Elizabeth Protected Area,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very frequently,Very frequently,Very frequently,Between two and five days,20,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Photographs, Species, Age, Sex, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Carcass condition, Suspect cause of death",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total injured animals of species X and 2 total injured animals of species Y”).,"Photographs, Species, Age, Sex, Body condition, Suspect cause of injury",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Sick wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total sick animals of species X and 2 total sick animals of species Y”).,"Photographs, Species, Age, Sex, Body condition, Suspect cause of disease",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Yes,Yes,Yes,Yes,Yes,"Dead, sick or injured wildlife are seldom found, Lack of expertise on how to properly record this information",7.5.3,No,"Yes, Before the end of 2022 or at the beginning of 2023",Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
10/29/2022 5:08:39,,Daudi Mollel,Agree,Strongly agree,Strongly agree,Neutral,Agree,Always,Very frequently,Always,Between four days and a week,60,Yes,Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified),"Photographs, Species, Age, Sex, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Dead wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total dead animals of species X and 2 total dead animals of species Y”).,"Photographs, Species, Age, Sex, Carcass condition, Suspect cause of death, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total injured animals of species X and 2 total injured animals of species Y”).,"Photographs, Species, Age, Sex, Body condition, Suspect cause of injury",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual sick animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Body condition, Suspect cause of disease",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Yes,Yes,No,,"Yes, Wildlife retaliatory killing, Wildlife knocked by vehicles across roads, livestock predation / killed by wildlife, Humman attacked by wildlife and Wildlife rescue","Dead, sick or injured wildlife are seldom found",6.3,No,"We had plan to set SMART connect but seems to be expensive so, organizations are finding affordable apps and software which enable to get data in real time.",Fully rolled-out,Yes,I am a general manager or administrator of one or more protected areas that uses SMART data
10/29/2022 5:35:28,,Endau Rompin Landscape,Strongly agree,Somewhat Disagree,Neutral,Strongly agree,Strongly agree,Very frequently,Very frequently,Very frequently,Between four days and a week,5,No,,,,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Carcass condition, Anomalies in carcass (if any), Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Age, Anomalies/signs if any, Body condition, Suspect cause of injury",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,Yes,Yes,Yes,Yes,Yes,No,"Dead, sick or injured wildlife are seldom found",7,Yes,,Fully rolled-out,Yes,Other
